,Group,Label,PEO 8 kg/mol (wt%),Sodium Citrate (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,A,E2,29.69113889317625,2.3734801323935453,0,0
1,A,E3,19.985769835360305,2.30859601224456,0,0
2,A,E4,9.854187291306609,2.3726026477842845,0,0
3,A,E5,35.06721682417143,4.932783175828565,1,1
4,A,E6,10.236269805938896,5.012942902837546,0,0
5,A,E7,24.965346125217106,7.494500041353073,1,1
6,A,E8,30.084400754642044,7.406083474001257,1,1
7,A,E9,4.70046390548343,7.674131428762139,0,0
8,A,E10,19.887714663143992,10.103698811096434,1,1
9,A,E11,30.04928037596684,9.95071962403316,1,1
10,A,E12,2.3801220575414126,10.213265374555696,0,0
11,A,F1,10.274932962879202,12.274739120602202,1,1
12,A,F3,19.62774500025358,12.73781549541021,1,1
13,A,F4,9.876275803222736,14.961766925929574,1,1
14,A,F5,19.53482087056399,15.346519602047193,1,1
15,A,F2,9.98687750147628,20.1167902368611,1,1
16,A,F6,19.966300773773494,20.033699226226503,1,1
17,B,D2,34.94002399040384,2.5309876049580167,1,1
18,B,D1,37.03604583089404,2.533076858743832,1,1
19,B,F1,29.9091215079098,4.918882531134299,1,1
20,B,A3,20.57348756545605,5.049249886346416,0,1
21,B,D4,24.92806350256326,5.135108318174302,1,1
22,B,D5,22.303682416627677,5.180779255496892,1,1
23,B,B6,12.245608274503365,7.246757511081923,0,0
24,B,B5,11.200505126032267,7.398102454181413,0,0
25,B,F2,14.77427448356611,7.468094003512587,1,1
26,B,A4,16.59459550128319,7.679688679403523,1,1
27,B,D7,19.213787114658825,7.700477605958385,1,1
28,B,D12,12.11116369392451,9.804337538145203,1,1
29,B,A7,12.344885273326664,9.865017795345327,1,1
30,B,B8,8.05424625816588,9.891342098734805,1,1
31,B,A8,11.459562509244499,9.894325110523114,1,1
32,B,A5,14.780756912654896,9.979039857806397,1,1
33,B,B9,9.968903904661053,9.99378078093221,1,1
34,B,E2,5.231754930423467,10.019688323822871,0,0
35,B,A9,7.670909948137669,10.060618306728633,1,1
36,B,A10,4.81342967864214,10.107457736110876,0,0
37,B,F3,7.0491101252162585,10.277668339642679,1,1
38,B,A6,12.791550046648007,10.357190457150471,1,1
39,B,E4,5.2420133915187055,12.377494253639364,1,1
40,B,A11,6.936229049337335,12.454726334603583,1,1
41,B,B1,3.0695314731130408,12.473667411426748,1,1
42,B,B3,0.9013780424039,12.723868638993373,0,0
43,B,B2,3.656282555365124,12.779514063917732,1,1
44,B,E7,1.1018019815147284,15.084114635281601,1,1
45,B,B4,0.8746074733746491,15.1288484224168,1,1
46,B,E10,0.5713063366955721,19.98453260493969,1,1
47,B,E9,1.0312505148015747,20.01746206941996,1,1
